merchant_id,category,application_date,category_review_days,handoff_wait_days,doc_verification_days,doc_rework_days,compliance_approval_days,catalog_setup_days,doc_rejections,total_ttm_days,sla_breach,status
M100029,Toys,2025-01-03,1.3,4.7,1.2,0.0,0.5,1.5,0,9.1,0,Live
M100030,Home & Kitchen,2025-09-27,3.4,9.3,1.7,1.4,1.9,2.6,2,20.3,1,Live
M100031,Fashion,2025-06-21,1.9,2.7,1.6,5.8,2.2,2.3,2,16.5,1,Live
M100032,Home & Kitchen,2025-09-30,1.1,2.9,1.4,0.0,2.6,1.2,0,9.2,0,Live
M100033,Beauty,2025-02-11,2.5,8.0,3.9,0.0,0.5,2.1,0,17.0,1,Live
M100034,Home & Kitchen,2025-08-14,1.6,3.2,1.2,4.7,1.4,4.4,3,16.5,1,Live
M100035,Grocery,2025-01-02,1.3,2.0,0.7,0.0,1.5,2.6,0,8.2,0,Live
M100036,Fashion,2025-10-18,0.7,10.2,1.3,0.2,1.6,4.4,1,18.5,1,Live
M100037,Home & Kitchen,2025-09-20,2.7,6.8,1.0,3.8,1.4,2.1,2,18.0,1,Live
M100038,Electronics,2025-03-06,1.8,4.9,2.7,0.0,1.7,1.7,0,12.8,0,Live
M100039,Fashion,2025-10-28,0.8,1.5,0.3,0.0,1.5,0.8,0,4.9,0,Live
M100040,Home & Kitchen,2025-03-14,3.3,4.3,2.0,3.2,0.9,1.6,1,15.2,1,Live
M100041,Grocery,2025-01-24,1.6,2.0,1.1,0.0,2.4,1.0,0,8.1,0,Live
M100042,Home & Kitchen,2025-07-09,2.5,2.6,2.5,0.0,4.4,5.4,0,17.4,1,Live
M100043,Fashion,2025-08-06,2.8,5.1,1.9,0.0,2.1,1.5,0,13.2,0,Live
M100044,Grocery,2025-02-01,1.5,2.4,1.4,0.0,2.0,1.6,0,8.9,0,Live
M100045,Home & Kitchen,2025-01-18,2.2,3.5,1.1,0.0,1.7,0.7,0,9.3,0,Live
M100046,Home & Kitchen,2025-11-13,1.0,7.6,1.0,3.0,1.5,2.9,3,17.1,1,Live
M100047,Beauty,2025-07-12,0.6,8.8,3.2,4.9,1.4,9.3,2,28.2,1,Stuck
M100048,Fashion,2025-06-29,0.4,1.7,0.6,0.9,1.4,2.9,1,7.9,0,Live
M100049,Beauty,2025-07-25,1.7,18.1,1.1,0.0,1.6,0.6,0,23.2,1,Live
M100050,Beauty,2025-04-18,1.4,2.7,3.1,1.7,1.3,1.7,1,11.9,0,Live
M100051,Beauty,2025-07-13,1.6,4.4,1.6,0.0,1.5,1.8,0,11.0,0,Live
M100052,Fashion,2025-07-17,1.4,4.8,0.6,0.0,0.8,1.9,0,9.5,0,Live
M100053,Beauty,2025-11-23,1.0,9.0,0.7,7.0,1.2,1.5,3,20.5,1,Live
M100054,Fashion,2025-03-14,1.1,10.7,1.0,1.2,1.2,1.5,2,16.7,1,Live
M100055,Fashion,2025-07-22,1.1,1.1,2.4,0.0,2.8,2.0,0,9.3,0,Live
M100056,Grocery,2025-09-27,3.8,5.6,1.9,0.0,3.3,2.1,0,16.8,1,Live
M100057,Grocery,2025-02-24,1.8,5.9,2.7,0.0,2.2,1.3,0,13.9,0,Live
M100058,Grocery,2025-01-18,3.1,9.7,1.7,0.0,0.8,5.0,0,20.2,1,Live
M100059,Electronics,2025-11-04,1.4,4.6,3.8,0.0,0.9,2.5,0,13.2,0,Live
M100060,Fashion,2025-10-05,2.3,2.0,1.5,3.7,2.5,1.6,2,13.7,0,Live
M100061,Fashion,2025-04-09,1.8,5.9,0.8,0.0,0.5,0.8,0,9.9,0,Live
M100062,Home & Kitchen,2025-09-17,1.9,4.2,1.0,0.0,0.5,3.0,0,10.6,0,Live
M100063,Beauty,2025-06-28,2.0,3.6,1.4,0.9,1.6,3.2,2,12.7,0,Live
M100064,Grocery,2025-03-24,1.2,2.6,1.6,0.9,1.8,3.7,1,11.9,0,Live
M100065,Electronics,2025-05-23,0.4,2.2,2.6,0.0,3.3,1.8,0,10.4,0,Live
M100066,Fashion,2025-03-26,0.7,4.0,1.4,0.0,2.8,3.5,0,12.4,0,Live
M100067,Home & Kitchen,2025-09-24,1.0,6.5,1.4,6.8,1.3,2.3,3,19.3,1,Live
M100068,Beauty,2025-07-17,1.0,7.6,1.2,5.2,1.1,5.7,1,21.9,1,Live
M100069,Toys,2025-01-28,0.4,6.2,2.1,0.0,1.5,2.1,0,12.3,0,Live
M100070,Fashion,2025-06-12,1.6,1.7,0.9,8.6,1.6,1.7,3,16.1,1,Live
M100071,Electronics,2025-05-02,0.9,2.3,1.0,0.8,1.3,0.4,2,6.6,0,Live
M100072,Grocery,2025-10-02,3.2,4.9,1.9,0.0,0.4,2.3,0,12.7,0,Live
M100073,Electronics,2025-05-27,1.7,1.4,1.5,0.0,0.9,4.5,0,10.0,0,Live
M100074,Home & Kitchen,2025-10-19,1.0,6.9,1.1,1.0,2.3,2.3,1,14.6,1,Live
M100075,Fashion,2025-07-17,3.0,9.8,0.4,0.0,2.6,1.9,0,17.6,1,Live
M100076,Home & Kitchen,2025-04-12,1.6,8.7,1.7,0.0,0.4,1.9,0,14.3,1,Live
M100077,Grocery,2025-10-27,1.1,8.0,0.5,1.5,2.6,0.9,2,14.7,1,Live
M100078,Grocery,2025-08-02,0.6,9.5,0.5,0.0,1.3,0.6,0,12.4,0,Live
M100079,Grocery,2025-04-10,0.8,3.0,2.3,2.1,0.8,1.4,3,10.4,0,Live
M100080,Home & Kitchen,2025-03-14,2.0,1.4,0.8,0.0,1.6,3.0,0,8.8,0,Live
M100081,Fashion,2025-04-25,2.1,5.8,2.6,0.0,1.5,1.6,0,13.4,0,Live
M100082,Beauty,2025-03-22,1.0,4.8,1.0,0.0,3.6,1.5,0,11.8,0,Live
M100083,Fashion,2025-08-10,0.5,4.0,0.6,0.0,2.5,3.7,0,11.3,0,Live
M100084,Grocery,2025-01-12,0.9,3.2,1.8,2.7,3.2,3.1,2,15.0,1,Live
M100085,Fashion,2025-03-10,0.7,5.3,1.8,0.0,0.6,1.7,0,10.0,0,Live
M100086,Grocery,2025-08-09,0.8,6.0,1.4,3.7,1.4,2.5,1,15.7,1,Live
M100087,Fashion,2025-06-18,0.6,2.6,1.7,11.0,0.5,0.1,2,16.4,1,Live
M100088,Electronics,2025-09-21,0.4,3.3,1.0,0.0,0.5,3.2,0,8.3,0,Live
M100089,Electronics,2025-04-16,1.5,4.5,0.7,2.6,0.7,2.6,2,12.6,0,Live
M100090,Beauty,2025-06-14,0.7,2.7,1.5,0.0,1.6,1.5,0,8.0,0,Live
M100091,Fashion,2025-07-25,2.3,4.6,3.6,0.0,1.9,0.9,0,13.3,0,Live
M100092,Electronics,2025-09-13,1.6,1.6,1.2,0.0,0.3,4.6,0,9.3,0,Live
M100093,Fashion,2025-07-11,1.9,2.5,3.7,0.0,1.5,2.7,0,12.3,0,Live
M100094,Fashion,2025-11-23,1.8,2.1,0.7,0.0,1.1,2.1,0,7.9,0,Live
M100095,Electronics,2025-08-15,0.5,9.6,2.7,2.9,1.8,3.1,2,20.6,1,Live
M100096,Fashion,2025-02-16,1.2,4.8,1.9,21.1,0.6,3.3,3,33.0,1,Stuck
M100097,Home & Kitchen,2025-05-22,2.6,5.0,3.4,7.2,1.8,3.0,2,23.1,1,Live
M100098,Electronics,2025-01-27,1.0,8.7,3.2,0.0,5.4,0.5,0,18.7,1,Live
M100099,Beauty,2025-03-19,1.3,7.8,1.0,0.0,0.5,1.0,0,11.5,0,Live
M100100,Home & Kitchen,2025-05-09,0.6,2.3,0.5,0.1,2.0,5.8,1,11.3,0,Live
M100101,Electronics,2025-01-05,2.4,2.7,2.0,0.0,2.4,3.2,0,12.7,0,Live
M100102,Grocery,2025-11-15,0.6,5.1,0.7,0.0,1.0,1.5,0,9.0,0,Live
M100103,Home & Kitchen,2025-07-18,0.6,3.1,1.2,0.0,1.2,1.6,0,7.6,0,Live
M100104,Beauty,2025-05-26,1.8,5.9,2.1,1.4,2.3,2.5,1,16.0,1,Live
M100105,Electronics,2025-03-16,2.5,5.6,1.0,0.0,2.8,1.7,0,13.5,0,Live
M100106,Home & Kitchen,2025-01-25,0.8,0.5,0.6,0.0,0.8,1.4,0,4.1,0,Live
M100107,Fashion,2025-01-02,2.7,6.3,1.5,4.7,3.5,0.9,3,19.5,1,Live
M100108,Toys,2025-11-09,0.6,2.4,0.8,4.2,1.7,1.6,3,11.2,0,Live
M100109,Fashion,2025-05-04,0.8,0.1,4.7,0.0,0.3,2.2,0,8.2,0,Live
M100110,Fashion,2025-08-29,0.5,10.7,2.7,8.0,2.6,1.8,3,26.3,1,Stuck
M100111,Fashion,2025-04-01,2.5,4.7,1.0,2.4,0.3,1.7,3,12.5,0,Live
M100112,Fashion,2025-11-26,2.1,5.9,2.2,0.0,2.1,1.4,0,13.7,0,Live
M100113,Beauty,2025-08-14,3.2,2.8,1.5,2.0,2.6,1.1,1,13.3,0,Live
M100114,Beauty,2025-07-01,1.1,8.2,1.6,0.0,2.1,7.5,0,20.5,1,Live
M100115,Fashion,2025-04-09,1.4,0.7,1.1,0.0,0.9,5.3,0,9.5,0,Live
M100116,Electronics,2025-07-04,2.7,6.4,2.1,2.5,3.1,5.5,2,22.3,1,Live
M100117,Electronics,2025-05-02,1.5,5.9,0.7,0.0,1.3,4.8,0,14.2,1,Live
M100118,Home & Kitchen,2025-10-14,1.2,3.8,0.7,0.0,2.3,2.6,0,10.6,0,Live
M100119,Electronics,2025-08-27,0.8,6.6,1.3,0.0,1.3,0.9,0,11.0,0,Live
M100120,Home & Kitchen,2025-07-01,1.0,1.8,3.6,0.0,1.1,1.4,0,8.8,0,Live
M100121,Grocery,2025-08-11,2.1,5.5,3.2,0.0,0.9,2.1,0,13.8,0,Live
M100122,Beauty,2025-08-15,2.3,8.2,1.3,6.1,1.9,1.7,2,21.5,1,Live
M100123,Electronics,2025-02-23,1.5,4.6,1.8,0.0,5.0,3.0,0,16.0,1,Live
M100124,Electronics,2025-11-09,0.9,5.6,3.6,0.0,0.4,2.5,0,12.9,0,Live
M100125,Electronics,2025-07-13,0.8,9.2,1.9,2.5,1.0,6.8,3,22.1,1,Live
M100126,Fashion,2025-03-11,0.1,3.9,3.2,2.9,1.9,2.2,2,14.1,1,Live
M100127,Fashion,2025-11-04,0.3,1.2,1.7,0.0,1.9,0.4,0,5.5,0,Live
M100128,Electronics,2025-05-24,2.7,4.0,0.5,1.3,4.0,1.6,2,14.1,1,Live
M100129,Electronics,2025-10-28,2.0,9.0,1.5,0.0,1.6,2.2,0,16.2,1,Live
M100130,Electronics,2025-05-21,0.8,12.6,2.0,1.7,0.9,1.4,1,19.4,1,Live
M100131,Home & Kitchen,2025-10-08,1.9,6.0,2.9,1.1,1.1,2.7,1,15.8,1,Live
M100132,Toys,2025-07-29,0.5,5.6,0.6,3.8,0.8,7.6,1,19.0,1,Live
M100133,Beauty,2025-04-04,2.4,8.4,1.7,0.0,1.1,2.5,0,16.2,1,Live
M100134,Beauty,2025-04-14,3.1,3.9,2.1,1.9,1.4,0.3,2,12.8,0,Live
M100135,Beauty,2025-11-13,1.1,4.5,0.2,0.0,1.2,1.2,0,8.1,0,Live
M100136,Home & Kitchen,2025-07-11,1.5,3.4,1.3,0.0,0.6,0.9,0,7.7,0,Live
M100137,Grocery,2025-03-07,0.5,3.6,0.8,0.0,0.9,2.0,0,7.9,0,Live
M100138,Beauty,2025-06-20,1.3,5.6,1.3,0.0,1.6,0.9,0,10.7,0,Live
M100139,Home & Kitchen,2025-05-13,1.0,7.6,1.3,6.1,2.5,0.7,3,19.3,1,Live
M100140,Fashion,2025-07-11,3.2,8.3,1.4,0.0,2.2,2.4,0,17.5,1,Live
M100141,Electronics,2025-02-07,0.5,1.2,3.0,5.4,3.0,3.2,1,16.2,1,Live
M100142,Fashion,2025-10-14,1.4,9.2,0.6,0.9,2.8,4.2,1,19.1,1,Live
M100143,Fashion,2025-07-06,1.2,4.6,2.8,0.0,1.1,1.1,0,10.8,0,Live
M100144,Home & Kitchen,2025-10-22,0.8,8.5,1.5,0.0,1.3,2.0,0,14.0,0,Live
M100145,Beauty,2025-08-27,2.1,1.5,1.4,0.0,0.7,2.6,0,8.3,0,Live
M100146,Electronics,2025-04-03,1.9,2.1,2.6,0.0,1.6,1.8,0,10.0,0,Live
M100147,Beauty,2025-08-15,1.6,2.3,0.9,0.0,0.9,2.0,0,7.7,0,Live
M100148,Home & Kitchen,2025-06-04,2.5,8.3,2.6,0.0,4.2,2.2,0,19.7,1,Live
M100149,Fashion,2025-01-03,1.3,6.2,2.1,0.0,1.2,4.6,0,15.4,1,Live
M100150,Toys,2025-10-28,0.6,3.2,2.0,0.0,2.5,0.4,0,8.7,0,Live
M100151,Electronics,2025-11-21,2.8,2.7,1.6,1.2,0.4,1.2,1,9.9,0,Live
M100152,Electronics,2025-11-21,1.0,7.4,3.3,0.0,1.7,3.9,0,17.4,1,Live
M100153,Grocery,2025-04-13,2.3,6.2,1.6,8.0,1.5,1.0,3,20.5,1,Live
M100154,Fashion,2025-01-26,2.4,5.7,1.4,2.4,1.9,2.0,2,15.8,1,Live
M100155,Beauty,2025-09-02,1.7,1.6,2.6,0.9,1.9,2.9,3,11.5,0,Live
M100156,Fashion,2025-02-08,2.5,2.2,0.8,0.0,2.3,3.4,0,11.3,0,Live
M100157,Electronics,2025-11-02,2.0,22.0,0.4,0.0,2.3,3.3,0,30.0,1,Stuck
M100158,Fashion,2025-07-30,1.3,2.8,5.7,0.7,1.7,0.8,3,12.9,0,Live
M100159,Grocery,2025-09-15,3.6,11.5,2.8,0.0,1.9,2.8,0,22.7,1,Live
M100160,Electronics,2025-09-23,0.5,10.8,2.3,0.0,0.5,2.0,0,16.2,1,Live
M100161,Toys,2025-06-22,4.3,6.3,1.6,0.0,0.7,3.0,0,15.9,1,Live
M100162,Home & Kitchen,2025-05-11,2.4,1.9,1.9,5.2,1.0,1.0,3,13.4,0,Live
M100163,Beauty,2025-06-27,1.0,1.8,3.1,1.2,1.1,1.9,2,10.1,0,Live
M100164,Home & Kitchen,2025-11-24,1.1,3.9,2.0,1.8,2.1,1.0,2,11.8,0,Live
M100165,Electronics,2025-02-17,1.9,9.7,0.7,3.8,0.9,0.9,1,17.8,1,Live
M100166,Electronics,2025-05-20,3.4,0.3,3.3,0.0,1.3,2.2,0,10.6,0,Live
M100167,Toys,2025-05-07,1.1,4.5,2.4,0.9,0.5,2.1,1,11.5,0,Live
M100168,Fashion,2025-09-03,1.6,4.2,2.1,2.6,0.7,2.8,1,14.0,0,Live
M100169,Toys,2025-09-29,2.8,4.5,1.4,0.0,2.4,2.7,0,13.7,0,Live
M100170,Beauty,2025-04-07,1.3,7.9,3.0,0.0,1.2,5.1,0,18.4,1,Live
M100171,Electronics,2025-08-13,1.1,1.6,2.1,4.9,1.0,0.3,3,11.0,0,Live
M100172,Home & Kitchen,2025-04-02,1.5,4.0,1.7,2.9,1.7,1.4,3,13.1,0,Live
M100173,Electronics,2025-08-07,0.8,0.7,3.0,1.9,1.2,3.2,3,10.8,0,Live
M100174,Electronics,2025-10-27,1.8,5.7,1.5,3.7,0.7,2.2,3,15.5,1,Live
M100175,Home & Kitchen,2025-08-13,0.9,6.2,1.8,6.7,2.5,2.0,3,20.2,1,Live
M100176,Fashion,2025-03-31,2.6,5.6,1.7,0.0,1.6,0.5,0,12.1,0,Live
M100177,Electronics,2025-04-26,2.4,3.3,4.9,0.5,1.6,1.1,1,13.8,0,Live
M100178,Toys,2025-10-22,2.4,7.9,0.8,1.9,0.6,0.7,1,14.1,1,Live
M100179,Electronics,2025-11-20,1.6,0.8,4.5,0.0,2.1,2.4,0,11.4,0,Live
M100180,Beauty,2025-09-18,2.0,3.7,0.7,1.2,2.0,1.9,1,11.5,0,Live
M100181,Electronics,2025-04-21,1.4,3.9,2.3,0.0,0.3,2.1,0,10.0,0,Live
M100182,Fashion,2025-05-15,2.2,3.3,1.8,0.0,0.4,8.9,0,16.6,1,Live
M100183,Grocery,2025-03-03,2.4,11.2,1.7,1.5,2.7,2.2,1,21.7,1,Live
M100184,Fashion,2025-04-05,1.3,0.2,2.0,0.0,1.3,2.8,0,7.5,0,Live
M100185,Electronics,2025-08-09,0.6,2.6,1.8,0.0,0.6,5.0,0,10.6,0,Live
M100186,Toys,2025-02-27,1.3,5.8,1.7,1.7,0.7,4.0,2,15.3,1,Live
M100187,Fashion,2025-02-25,1.0,2.0,2.0,1.8,1.7,2.9,1,11.4,0,Live
M100188,Grocery,2025-10-26,0.7,12.2,1.0,1.1,0.7,2.9,2,18.6,1,Live
M100189,Home & Kitchen,2025-11-18,1.9,3.6,2.1,0.0,0.7,1.9,0,10.1,0,Live
M100190,Beauty,2025-10-27,1.8,9.5,1.5,2.7,1.0,1.0,2,17.4,1,Live
M100191,Home & Kitchen,2025-07-09,0.9,0.9,1.8,0.6,1.5,2.3,2,8.1,0,Live
M100192,Electronics,2025-01-20,1.3,4.4,1.3,3.8,2.1,1.4,2,14.5,1,Live
M100193,Beauty,2025-02-09,0.9,5.5,0.9,0.0,1.7,2.6,0,11.5,0,Live
M100194,Fashion,2025-07-10,0.5,1.8,2.1,0.0,1.0,1.7,0,7.0,0,Live
M100195,Electronics,2025-01-08,0.3,3.3,2.9,0.8,2.0,2.2,2,11.5,0,Live
M100196,Electronics,2025-02-12,1.0,7.3,2.1,1.3,1.3,1.6,1,14.6,1,Live
M100197,Electronics,2025-07-18,2.8,4.6,2.0,0.0,2.6,2.7,0,14.7,1,Live
M100198,Fashion,2025-04-27,2.3,2.8,1.1,9.1,1.3,1.9,3,18.6,1,Live
M100199,Fashion,2025-01-14,2.5,5.7,0.7,0.0,2.7,5.1,0,16.6,1,Live
M100200,Home & Kitchen,2025-09-28,0.3,12.1,1.3,0.0,1.1,2.5,0,17.2,1,Live
M100201,Electronics,2025-01-18,2.3,6.7,1.9,0.0,1.2,2.9,0,15.0,1,Live
M100202,Beauty,2025-02-13,2.1,1.2,3.8,0.0,1.9,1.4,0,10.5,0,Live
M100203,Home & Kitchen,2025-05-17,1.2,4.5,1.1,0.0,0.8,2.2,0,9.7,0,Live
M100204,Grocery,2025-07-13,2.1,2.5,5.3,2.2,2.1,1.8,1,16.1,1,Live
M100205,Beauty,2025-05-28,1.6,3.6,2.7,0.0,1.4,2.1,0,11.3,0,Live
M100206,Home & Kitchen,2025-03-21,0.9,3.3,3.3,0.0,0.8,5.3,0,13.6,0,Live
M100207,Electronics,2025-10-01,1.1,9.6,1.2,2.1,2.9,6.8,2,23.7,1,Live
M100208,Beauty,2025-11-06,1.4,10.2,3.8,0.0,2.7,0.9,0,18.9,1,Live
M100209,Fashion,2025-02-12,1.9,0.7,1.5,0.0,2.0,1.7,0,7.7,0,Live
M100210,Fashion,2025-11-23,2.8,3.8,2.5,1.3,0.5,2.3,1,13.3,0,Live
M100211,Toys,2025-10-14,0.9,2.9,2.2,0.0,1.4,0.9,0,8.3,0,Live
M100212,Home & Kitchen,2025-02-11,1.4,11.6,1.2,2.9,1.0,1.8,2,20.0,1,Live
M100213,Beauty,2025-05-14,0.6,6.0,1.6,0.0,1.3,3.0,0,12.5,0,Live
M100214,Home & Kitchen,2025-08-24,1.0,5.9,1.2,2.6,3.4,5.5,3,19.6,1,Live
M100215,Home & Kitchen,2025-10-09,1.3,1.7,0.9,1.2,0.9,3.2,3,9.3,0,Live
M100216,Fashion,2025-04-15,1.4,11.1,2.0,0.7,1.5,1.0,1,17.7,1,Live
M100217,Fashion,2025-02-19,0.9,8.2,3.6,0.0,0.6,2.7,0,16.0,1,Live
M100218,Home & Kitchen,2025-08-31,0.8,4.4,1.3,0.0,2.3,5.6,0,14.5,1,Live
M100219,Home & Kitchen,2025-01-16,4.3,2.4,1.0,0.0,1.2,2.5,0,11.3,0,Live
M100220,Fashion,2025-03-10,1.0,5.9,1.4,0.0,4.3,3.2,0,15.9,1,Live
M100221,Toys,2025-05-24,1.6,3.9,2.4,0.0,2.7,3.3,0,13.9,0,Live
M100222,Fashion,2025-09-13,1.3,2.7,1.0,0.0,1.6,0.9,0,7.5,0,Live
M100223,Home & Kitchen,2025-03-13,0.4,5.5,3.0,2.0,1.5,2.5,1,14.8,1,Live
M100224,Fashion,2025-09-01,1.3,7.5,2.6,3.2,0.6,0.9,2,16.1,1,Live
M100225,Beauty,2025-06-07,2.0,5.4,2.2,0.0,2.9,0.7,0,13.3,0,Live
M100226,Fashion,2025-07-29,1.4,5.6,2.1,5.4,2.1,1.5,2,18.0,1,Live
M100227,Fashion,2025-09-28,2.3,5.7,2.7,0.0,1.2,3.0,0,14.9,1,Live
M100228,Fashion,2025-07-08,1.1,3.0,1.5,2.6,0.3,3.8,3,12.4,0,Live
M100229,Fashion,2025-10-20,1.8,4.1,1.6,6.4,1.0,1.5,3,16.4,1,Live
M100230,Fashion,2025-06-09,0.8,9.3,0.7,0.0,4.6,2.1,0,17.5,1,Live
M100231,Home & Kitchen,2025-01-29,0.5,0.9,2.3,8.5,1.3,4.9,3,18.3,1,Live
M100232,Electronics,2025-11-13,0.7,9.4,0.7,0.0,0.9,5.1,0,16.8,1,Live
M100233,Toys,2025-03-26,1.1,1.2,0.6,0.0,2.4,3.7,0,8.9,0,Live
M100234,Toys,2025-08-31,1.4,7.1,0.5,0.0,2.2,0.7,0,11.9,0,Live
M100235,Beauty,2025-04-11,1.3,7.1,3.8,0.0,0.8,2.5,0,15.5,1,Live
M100236,Home & Kitchen,2025-02-14,0.5,2.4,0.7,0.0,0.5,2.5,0,6.6,0,Live
M100237,Grocery,2025-02-27,2.7,0.7,0.9,0.0,2.7,2.0,0,9.1,0,Live
M100238,Toys,2025-08-31,0.5,7.0,1.1,1.4,2.0,4.2,2,16.1,1,Live
M100239,Fashion,2025-06-04,0.8,4.3,1.5,5.0,0.8,4.6,3,17.0,1,Live
M100240,Fashion,2025-07-09,1.7,6.6,1.0,0.0,1.1,1.4,0,11.9,0,Live
M100241,Electronics,2025-01-18,1.9,9.2,1.3,0.0,1.4,2.6,0,16.4,1,Live
M100242,Fashion,2025-03-22,1.3,4.6,1.3,0.0,1.4,1.6,0,10.2,0,Live
M100243,Home & Kitchen,2025-03-07,1.4,1.5,1.7,0.0,0.7,7.0,0,12.4,0,Live
M100244,Fashion,2025-10-31,0.9,2.7,1.8,0.0,0.3,3.2,0,8.8,0,Live
M100245,Fashion,2025-01-22,2.2,1.3,0.9,0.0,4.3,2.0,0,10.6,0,Live
M100246,Electronics,2025-09-05,1.7,9.5,2.5,0.0,1.2,0.9,0,15.7,1,Live
M100247,Fashion,2025-05-31,1.3,3.0,2.2,0.0,2.2,3.6,0,12.3,0,Live
M100248,Beauty,2025-06-18,1.8,2.2,2.5,0.0,1.6,3.2,0,11.3,0,Live
M100249,Home & Kitchen,2025-11-07,1.6,4.2,1.4,0.0,1.9,2.7,0,11.9,0,Live
M100250,Home & Kitchen,2025-04-16,0.6,6.7,2.8,0.0,1.4,1.4,0,13.0,0,Live
M100251,Fashion,2025-02-20,0.8,8.0,0.7,6.8,3.0,2.1,3,21.4,1,Live
M100252,Electronics,2025-06-27,0.5,3.9,2.3,1.4,1.3,1.6,1,11.1,0,Live
M100253,Beauty,2025-10-20,2.2,3.1,0.1,0.8,3.2,5.6,1,15.1,1,Live
M100254,Fashion,2025-11-12,1.2,4.4,0.1,1.7,1.4,2.4,3,11.2,0,Live
M100255,Electronics,2025-04-15,0.5,7.7,1.7,0.0,0.9,4.9,0,15.7,1,Live
M100256,Fashion,2025-07-30,1.8,2.4,1.6,0.0,1.9,1.6,0,9.3,0,Live
M100257,Fashion,2025-09-04,1.5,5.1,2.3,0.0,2.3,0.9,0,12.2,0,Live
M100258,Fashion,2025-03-19,2.6,7.1,1.4,6.9,1.6,1.4,3,20.9,1,Live
M100259,Electronics,2025-10-06,1.9,3.4,1.0,3.6,1.3,0.7,3,12.0,0,Live
M100260,Electronics,2025-02-28,0.3,5.3,1.7,0.8,2.5,2.4,1,13.0,0,Live
M100261,Grocery,2025-07-19,1.9,5.0,2.3,0.0,1.9,2.1,0,13.3,0,Live
M100262,Electronics,2025-08-29,0.6,6.6,1.5,0.0,2.1,2.3,0,13.1,0,Live
M100263,Fashion,2025-08-26,1.7,0.6,2.2,0.0,0.7,2.0,0,7.2,0,Live
M100264,Grocery,2025-03-30,0.9,12.2,0.7,0.0,1.4,1.5,0,16.7,1,Live
M100265,Fashion,2025-07-28,1.0,10.2,0.8,0.0,1.2,1.5,0,14.7,1,Live
M100266,Fashion,2025-10-13,1.6,7.3,2.0,5.0,5.3,2.2,3,23.3,1,Live
